Y M C	A
You promised to	tell take be
You promised you	would
You put a	lot
You put him	in
You put in	a the
You put it	in on
You put me	in on
You put on	a your the
You put them	in
You put up	a with
You put your	hand finger
You put yourself	in
You ran away	from
You read a	lot
You read about	the it
You read in	the
You read my	mind
You read the	papers
You read too	much
You ready for	this
You ready to	go
You realize that	you the this if your it I
You really are	a the not an very
You really believe	that
You really can	not
You really could	not
You really did	not it
You really do	not have need look
You really had	to
You really have	to a no not been
You really know	how
You really like	it
You really mean	that it
You really must	not be
You really need	to a
You really ought	to
You really should	not have be get try
You really think	so I that you it he we they this she the
You really want	to me
You really will	not
You really would	not
You reap what	you
You recall that	the
You refer to	the
You remember I	told said was
You remember how	the he I we you it
You remember in	the
You remember my	telling
You remember that	the I when in we you he time night day it
You remember the	story old time day first night last
You remember what	I you happened a the he we
You remember when	I we you
You remind me	of that so
You reminded me	of
You return to	the your
You risked your	life
You run out	of
You run the	risk
You run to	the
You said I	was could should had would might
You said a	mouthful
You said before	that
You said earlier	that
You said he	was had would
You said if	I
You said in	your the
You said it	was yourself would
You said just	now
You said last	night
You said not	to
