D A A A	A
Division of Occupational Safety	and
Division of Oil and	Gas
Division of Parks and	Recreation
Division of Plastic and	Reconstructive
Division of Plenum Publishing	Corporation
Division of Public Health	Methods
Division of Pulmonary and	Critical
Division of Purchase and	Printing
Division of Rare and	Manuscript
Division of Research and	Statistics
Division of Sperry Rand	Corporation
Division of Substance Abuse	Services
Division of Surveys and	Field
Division of Territories and	Island
Division of The Macmillan	Company
Division of Travel and	Tourism
Division of Tropical Crops	and
Division of Walter de	Gruyter
Division of Water and	Land
Division of Western European	Affairs
Division of Wildlife and	Ecology
Division of Youth and	Family
Division of the Academy	of
Division of the American	Philosophical Library Society Association
Division of the Army	of
Division of the Association	of for
Division of the Board	of
Division of the Bureau	of
Division of the Council	of
Division of the County	of
Division of the Court	of
Division of the Democratic	National
Division of the Department	of
Division of the General	Staff
Division of the Government	of
Division of the High	Court
Division of the Institute	of
Division of the Internal	Revenue
Division of the Justice	Department
Division of the Library	of
Division of the Ministry	of
Division of the National	Education Archives
Division of the New	York
Division of the Office	of
Division of the Planning	Commission
Division of the Public	Works
Division of the Rockefeller	Foundation
Division of the Second	Corps
Division of the Social	Sciences
Division of the Sons	of
Division of the State	Department
Division of the Superior	Court
Division of the Supreme	Court
Division of the Treasury	Department
Division of the United	States Nations
Division of the University	of
Division of the War	Department
Division of the World	Bank
Division of the county	of
Division shall be held	at
Division should be reversed	and
Division under the command	of
Divisional Court held that	the
Divisional Court of the	Queen
Divisions of the High	Court
Divisions of the United	States
Divorce and Admiralty Division	of
Divorce and Matrimonial Causes	Act
Divorce in the Progressive	Era
Divorce in the United	States
Divorce of Catherine of	Aragon
Dizzy Gillespie and Charlie	Parker
Do All Day and	How
Do Androids Dream of	Electric
Do Do Do Do	Do
Do Fools Fall in	Love
Do I Go From	Here
Do I Hear a	Waltz
Do I Need to	Know
Do I dare to	eat
Do I detect a	note
Do I have a	choice
Do I have the	right
Do I have time	to
Do I have to	go tell do be spell have take say remind give pay answer get wear
Do I have your	word permission
Do I know how	to
Do I know what	I
Do I look all	right
Do I look as	if
Do I look like	a I the an one
Do I make myself	clear
Do I need to	tell be remind say
Do I not know	that
Do I really have	to
Do I really need	to this
Do I really want	to
Do I take it	that
Do I understand that	you the
Do I understand you	to correctly
Do I wake or	sleep
Do I want to	be know go do
Do Not Disturb sign	on
Do Not Go Gentle	into Into
Do Not Remove Or	Mutilate
Do Not Remove or	Mutilate
Do Parties Make a	Difference
Do We Go From	Here
Do We Go from	Here
Do We Need to	Know
Do You Believe in	Magic
Do You Have What	It
Do You Hear What	I
Do You Really Want	to
Do You Say After	You
Do You See What	I
Do You Think You	Are
Do You Want to	Be Know
Do all that you	can
Do all the good	you
Do all you can	to
Do and Why They	Do
Do any of the	following
Do any of you	know have
Do as I bid	you
Do as I say	and
Do as I tell	you
Do as much as	you
Do as you are	told
Do as you think	best
Do as you would	be
Do either of you	know have
Do everything in your	power
Do everything you can	to
Do good to them	that
Do grow beneath their	shoulders
Do it right the	first
Do keep in mind	that
Do let me hear	from
Do let me know	if
Do me a favor	and
Do me the favor	to
Do me the favour	to
Do me the justice	to
Do men gather grapes	of
Do my eyes deceive	me
Do not Be Afraid	to of
Do not Believe the	Hype
Do not Buy Where	You
Do not Change Your	Husband
Do not Cry for	Me
Do not Drink the	Water
Do not Eat the	Daisies
Do not Fence Me	In
Do not Get Around	Much
Do not Give Up	the
Do not Have to	Be
Do not I fill	heaven
Do not I get	a
Do not I hate	them
Do not I have	a to the
Do not I know	it you that what
Do not I look	like
Do not I tell	you
Do not I wish	I
Do not Know Can	Hurt
Do not Know How	to
Do not Know Much	About
Do not Know What	to
Do not Leave Home	Without
Do not Mean a	Thing
Do not Sit Under	the
Do not Sweat the	Small
Do not Take Your	Love
Do not Teach You	at
Do not Touch That	Dial
Do not Tread on	Me
Do not Want You	to
Do not Want to	Be
Do not You Know	There
Do not You Want	to
Do not accuse me	of
Do not act as	if
Do not act like	a you
Do not all charms	fly
Do not allow anyone	to
Do not allow children	to
Do not allow him	to
Do not allow it	to
Do not allow the	patient
Do not allow them	to
Do not allow to	boil
Do not allow your	child
Do not allow yourself	to
Do not allow yourselves	to
Do not answer the	phone
Do not any of	you
Do not arch your	back
Do not argue with	me the
Do not arise in	view
Do not ask any	questions
Do not ask for	the a
Do not ask him	to
Do not ask me	why to how what any about that for where anything again questions
Do not ask questions	that
Do not ask so	many
Do not ask too	many
Do not assume that	the you your a because all just
Do not assume you	know
Do not attempt to	remove use make do
Do not automatically assume	that
Do not be a	fool baby goose stranger damned silly damn coward jerk smart bloody slave little child hero
Do not be afraid	to of that or for
Do not be alarmed	if by at about
Do not be an	idiot ass asshole
Do not be angry	with at
Do not be anxious	about
Do not be ashamed	of to
Do not be carried	away
Do not be cast	down
Do not be concerned	about if with that
Do not be conformed	to
Do not be confused	by
Do not be content	with to
Do not be cross	with
Do not be deceived	by
Do not be deterred	by
Do not be disappointed	if
Do not be discouraged	if by
Do not be distracted	by
Do not be disturbed	by
Do not be embarrassed	to
Do not be fooled	by into
Do not be frightened	by of at
Do not be guilty	of
Do not be hard	on
Do not be in	a such too
Do not be influenced	by
Do not be intimidated	by
Do not be late	for
Do not be led	astray
Do not be like	that the them
Do not be lulled	into
Do not be mad	at
Do not be misled	by into
Do not be offended	if
Do not be one	of
Do not be overcome	by
Do not be overly	concerned
Do not be overwhelmed	by
Do not be put	off
Do not be reluctant	to
Do not be satisfied	with
Do not be scared	of
Do not be seduced	by
Do not be shy	about
Do not be so	sure hard silly quick stupid foolish damned bloody impatient modest hasty naive damn touchy dramatic ridiculous sensitive
Do not be sorry	for
Do not be such	a an
Do not be surprised	if to at when that by or
Do not be swayed	by
Do not be taken	in
Do not be tempted	to by
Do not be that	way
Do not be too	sure hard quick long hasty concerned proud much anxious eager surprised
Do not be uneasy	about
Do not be upset	if
Do not be wise	in
Do not be worried	about
Do not bear false	witness
Do not beat around	the
Do not beat yourself	up
Do not believe a	word
Do not believe everything	you
Do not believe that	I the you
Do not believe what	you
Do not bet on	it
Do not bite off	more
Do not blame it	on
Do not blame me	for if
Do not blame yourself	for
Do not bother about	me the that it
Do not bother me	with now
Do not bother to	come answer
Do not bother trying	to
Do not bother with	the that
Do not bother your	head
Do not breathe a	word
Do not call him	that
Do not call it	a
Do not call me	that a
Do not care if	I
Do not change the	subject
Do not close your	eyes
Do not come any	closer
Do not come back	here until to
Do not come in	here
Do not come near	me
Do not come to	me the
Do not concern yourself	with about
Do not conform any	longer
Do not confuse it	with
Do not confuse me	with
Do not confuse the	two
Do not confuse them	with
Do not confuse this	with
Do not count on	it me the that
Do not count your	chickens
Do not cry any	more
Do not cry for	me
Do not cut off	the
Do not depend on	the your
Do not despair if	you
Do not discontinue this	drug
Do not discontinue without	consulting
Do not do anything	to stupid that foolish rash I until you
Do not do as	I
Do not do it	again for
Do not do me	any
Do not do that	again to
Do not do this	to
Do not do to	others
Do not do too	much
Do not do unto	others
Do not double the	next
Do not drink alcohol	while
Do not drink alcoholic	beverages
Do not drink and	drive
Do not drink the	water
Do not drink too	much
Do not drive a	car
Do not dwell on	the it
Do not eat or	drink
Do not eat too	much
Do not either of	you
Do not enter more	than
Do not even bother	to
Do not even go	there
Do not even look	at
Do not even say	it
Do not even the	publicans tax Gentiles
Do not even think	about of it that
Do not even try	to it
Do not ever be	afraid
Do not ever call	me
Do not ever come	back
Do not ever do	that
Do not ever forget	that it
Do not ever give	up
Do not ever leave	me
Do not ever let	me anyone
Do not ever say	that
Do not ever tell	me
Do not ever think	that
Do not ever try	to
Do not exceed a	total
Do not exceed the	recommended
