K Ca Sc Ti	V
knew himself to be	a the in
knew himself well enough	to
knew his days were	numbered
knew his own mind	and
knew his way about	the
knew his way around	the a
knew how I felt	about
knew how and when	to
knew how dangerous it	was
knew how difficult it	was would
knew how easy it	was
knew how hard it	was would is
knew how he felt	about
knew how important it	was
knew how it felt	to
knew how it was	done going
knew how it would	be end
knew how long it	would
knew how much I	loved wanted love
knew how much he	had loved was wanted
knew how much it	meant would
knew how much she	loved had
knew how she felt	about
knew how to appeal	to
knew how to appreciate	the
knew how to avail	himself
knew how to be	a
knew how to build	a
knew how to care	for
knew how to combine	the
knew how to cope	with
knew how to deal	with
knew how to distinguish	between
knew how to do	it that the this was things so everything a
knew how to drive	a
knew how to exploit	the
knew how to fight	and
knew how to find	the
knew how to get	the to things it along a there out around what in rid
knew how to give	a
knew how to go	about
knew how to handle	the a it them him his
knew how to have	a fun
knew how to hold	his
knew how to keep	his the a her
knew how to live	in
knew how to look	after
knew how to make	the a it use them his himself money her an good
knew how to manage	the
knew how to manipulate	the
knew how to operate	the
knew how to play	the on it
knew how to profit	by
knew how to put	on a the
knew how to read	and the or
knew how to respond	to
knew how to run	a the
knew how to say	it
knew how to set	about
knew how to speak	to
knew how to take	care advantage the a it
knew how to talk	to
knew how to tell	a
knew how to treat	a
knew how to turn	the to
knew how to use	it the them a his their her
knew how to win	the
knew how to work	the with it
knew how to write	a
knew if I did	not
knew if he did	not
knew if she did	not
knew immediately that he	was had
knew immediately that it	was
knew immediately that she	was
knew immediately that something	was
knew immediately that this	was
knew in a general	way
knew in a moment	that
knew in advance of	the
knew in advance that	the he
knew in an instant	that
knew in her heart	that she
knew in his bones	that
knew in his heart	that he of
knew in my heart	that I of
knew in our hearts	that
knew in that instant	that
knew in that moment	that
knew in the back	of
knew in their hearts	that
knew instantly that it	was
knew instinctively that he	was
knew instinctively that it	was
knew instinctively that this	was
knew it all by	heart
knew it all the	time
knew it all too	well
knew it almost by	heart
knew it and did	not
knew it and so	did
knew it as soon	as
knew it as surely	as
knew it as well	as
knew it at the	time
knew it better than	the he
knew it could be	done
knew it could never	be
knew it could not	be last have
knew it could only	be
knew it did not	matter
knew it for a	fact
knew it for what	it
knew it from the	first
knew it had been	a
knew it had not	been
knew it had nothing	to
knew it had something	to
knew it had to	be do come
knew it must be	the a so
knew it must have	been
knew it only too	well
knew it so well	that
knew it the moment	I
knew it to be	a the true so false an his
knew it was a	mistake lie good bad long dream matter big very
knew it was about	to
knew it was against	the
knew it was all	over right a
knew it was because	of he she
knew it was best	to
knew it was better	to
knew it was bound	to
knew it was dangerous	to
knew it was foolish	to
knew it was for	the
knew it was futile	to
knew it was going	to
knew it was hard	for
knew it was his	duty
knew it was hopeless	to
knew it was important	to for
knew it was impossible	to for
knew it was in	the vain
knew it was just	a the
knew it was more	than
knew it was necessary	to
knew it was no	use good
knew it was not	a the true going right his just so her good that an for my possible really enough in to because fair from safe
knew it was now	or
knew it was of	no
knew it was one	of
knew it was only	a the
knew it was out	of
knew it was part	of
knew it was pointless	to
knew it was possible	to
knew it was safe	to
knew it was the	right only same end last truth best wrong Lord one
knew it was time	to for
knew it was to	be
knew it was too	late good soon
knew it was up	to
knew it was useless	to
knew it was wrong	to and
knew it would be	a the impossible so useless difficult hard all like an no better very too only futile to in easy good of
knew it would come	to
knew it would do	no
knew it would have	to been
knew it would never	be happen
knew it would not	be do work last take have happen
knew it would only	be
knew it would soon	be
knew it would take	a time
knew just as well	as
knew just how to	do
knew just what he	was wanted
knew just what it	was
knew just what to	do say
knew just where to	find go look
knew little and cared	less
knew little more than	the
knew little of the	world
knew little of what	was
knew little or nothing	of about
knew many of the	people
knew me better than	I
knew me to be	a
knew me well enough	to
knew me when I	was
knew more about her	than
knew more about him	than
knew more about it	than
knew more about me	than
knew more about the	subject matter
knew more about them	than
knew more about what	was
knew more of the	world
knew more or less	what
knew more than I	did
knew more than any	other
knew more than anyone	else
knew more than he	did was
knew more than she	did was
knew more than they	did
knew more than we	did
knew most of the	people
knew most of them	by
knew much more about	the
knew much more than	he
knew next to nothing	about of
knew no better than	to
knew no bounds when	he
knew no more about	the it
knew no more of	the
knew no more than	the that he I they
knew no one in	the
knew no other way	to of
knew no sin to	be
knew no such thing	as
knew not a word	of
knew not how it	was
knew not how to	act make be use get answer account do express
knew not one word	of
knew not only how	to
knew not so much	as
knew not that he	was had
knew not that it	was
knew not that she	was
knew not that they	were
knew not the meaning	of
knew not the use	of
knew not until the	flood
knew not well how	to
knew not what I	did was
knew not what answer	to
knew not what course	to
knew not what else	to
knew not what had	become
knew not what he	did was said
knew not what it	was meant
knew not what they	did were
knew not what to	do say think make answer reply call expect
knew not what was	the
knew not whence it	came
knew not where I	was
knew not where he	was
knew not where they	were
knew not where to	turn find go look
knew not where we	were
knew not whether he	was
knew not whether it	was
knew not which way	to
knew not who he	was
knew not whom to	trust
knew nothing about any	of
knew nothing about it	until and at
knew nothing about the	matter subject business
knew nothing about what	was
knew nothing and cared	less nothing
knew nothing as yet	of
knew nothing at all	about of
knew nothing at the	time
knew nothing of all	this
knew nothing of any	such
knew nothing of each	other
knew nothing of it	until till
knew nothing of such	a
knew nothing of the	matter world country art real affair circumstances existence history subject business man great plot nature language
knew nothing of these	things
knew nothing of this	until
knew nothing of what	had was he
knew nothing whatever about	the it
knew nothing whatever of	the
knew now that I	was
knew now that he	had was would could
knew now that it	was
knew now that she	had was would
knew now that there	was
knew now what it	was
knew of a man	who
knew of at least	one
knew of course that	the
knew of it was	when
knew of my interest	in
knew of no one	who
knew of no other	way
knew of no reason	why
knew of no way	to
knew of the death	of
knew of the existence	of
knew of the history	of
knew of the presence	of
knew of the work	of
knew one thing for	sure certain
knew only a few	words
knew only one way	to
knew only that he	was had
knew only that it	was
knew only that she	was had
knew only that they	were
knew only the baptism	of
knew only too well	that what the how from
knew or cared about	the
knew or cared anything	about
knew or could have	known
knew or could not	have
knew or did not	know
knew or had heard	of
knew or had reason	to
knew or ought to	have
